"element"                   , "requiredAttribute"
"creationDate"              , "@year"
"geodatabase"               , "@version"
"geodatabaseDesigner"       , "@version"
"geometryDef"               , "@hasZ"
"grid"                      , "@size"
"index"                     , "@isAscending"
"geometryDef"               , "@esriGeometryType"
"creator"                   , "@computer"
"objectClass"               , "@table"
"objectClass"               , "@subtypeField"
"objectClass"               , "@defaultSubtypeCode"
"objectClass"               , "@modelName"
"geodatabase"               , "@esriWorkspaceType"
"index"                     , "@isUnique"
"geoBox"                    , "@esriExtentType"
"GeoBndBox"                 , "@esriExtentType"
"objectClass"               , "@esriDatasetType"
"Process"                   , "@ToolSource"
"creationDate"              , "@second"
"esriterm"                  , "@Name"
"geometObjs"                , "@Name"
"detailed"                  , "@Name"
"objectClass"               , "@oidField"
"creationDate"              , "@day"
"objectClass"               , "@aliasName"
"geodatabase"               , "@flavor"
"creationDate"              , "@month"
"geometryDef"               , "@avgNumPoints"
"connectionProperty"        , "@name"
"field"                     , "@name"
"index"                     , "@name"
"efeageom"                  , "@code"
"identCode"                 , "@code"
"geometryDef"               , "@hasM"
"Process"                   , "@Time"
"objectClass"               , "@database"
"creationDate"              , "@hour"
"objectClass"               , "@configKeyword"
"countryCode"               , "@value"
"CharSetCd"                 , "@value"
"PresFormCd"                , "@value"
"GeoObjTypCd"               , "@value"
"connectionProperty"        , "@value"
"ScopeCd"                   , "@value"
"languageCode"              , "@value"
"SpatRepTypCd"              , "@value"
"TopoLevCd"                 , "@value"
"objectClass"               , "@owner"
"objectClass"               , "@shapeField"
"Process"                   , "@Date"
"creationDate"              , "@minute"
"objectClass"               , "@esriFeatureType"
"creator"                   , "@user"